Convolutional layers amount,Linear classificator layers amount,Other model params,Optimizers,Loss (train/test),Accuracy (train/test)
15,3,"Batch normalization, 4096 neurons in the layer, channels = [64, 128, 256, 512, 1024], block_config = [2, 3, 4, 4, 3]",default AdamW lr = 1e-3,1.0802 / 1.8081,"68,54 % / 55,94% "
15,3,"Batch normalization, 4096 neurons in the layer, dropout in the classifier, channels = [64, 128, 256, 512, 1024], block_config = [2, 3, 4, 4, 3]",default AdamW lr = 1e-3,1.2514 / 1.7330,"64,97% / 56,09%"
15,3,"Batch normalization, 4096 neurons in the layer, dropout after maxpool in every layer, channels = [64, 128, 256, 512, 1024], block_config = [2, 3, 4, 4, 3]",default AdamW lr = 1e-3,1.3235 / 1.7725,"62,63 % / 54,78%"
15,3,"Batch normalization, 4096 neurons in the layer, dropout after maxpool in every layer, dropout after every layer in the classifier, channels = [64, 128, 256, 512, 1024], block_config = [2, 3, 4, 4, 3]",default AdamW lr = 1e-3,1.0332 / 1.6159,"71,44 % / 59,88 %"
15,3,"Batch normalization, 4096 neurons in the layer, dropout after maxpool in every layer, dropout after every layer in the classifier, channels = [64, 128, 256, 512, 1024], block_config = [2, 2, 3, 3, 3]",default AdamW lr = 1e-3,0.9562 / 1.5482,"73,23 % / 61,91 %"
15,3,"Batch normalization, 4096 neurons in the layer, dropout after maxpool in every layer, dropout after every layer in the classifier, channels = [64, 128, 256, 512, 1024], block_config = [3, 3, 3, 3, 3]",default AdamW lr = 1e-3,1.0519 / 1.5423,"70,67 % / 61,14 %"
10,3,"Batch normalization, maximum number of neurons in a layer is 64",AdamW lr = 1e-3 wd= 1e-2,0.7541 / 2.0298,"76,36% / 51,68 %"
10,3,"Batch normalization, maximum number of neurons in a layer is 64","Adam wd = 1e-2, lr = 1e-3",2.0850 / 2.2806,46.45% / 41.68%
10,3,"Batch normalization, maximum number of neurons in a layer is 64",AdamW lr = 1.5e-2 wd = 1e-2,0.8730 / 2.0812,73.13 % / 48.80%
10,3,"Batch normalization, maximum number of neurons in a layer = 64, dropout p=0.2 after each pooling layer (3 times total)",AdamW lr = 1e-3 wd= 1e-2,1.0248 / 2.0197,"68,8 % / 50,22%"
10,3,"Batch normalization, maximum number of neurons in a layer = 64, dropout p=0.1 after each pooling layer (3 times total)",AdamW lr = 1e-3 wd= 1e-2,0.9339 / 2.1303,"71,29% / 48,90 %"
10,3,"Batch normalization, maximum number of neurons in a layer = 64, dropout p=0.25 after each pooling layer (3 times total)",AdamW lr = 1e-3 wd= 1e-2,1.1761 / 1.9740,"64,86% / 50,00 %"
10,3,"Batch normalization, maximum number of neurons in a layer = 64, dropout p=0.5 after the 1st and 2nd fc layers",AdamW lr = 1e-3 wd= 1e-2,1.5229 / 1.8564,"57,12% / 50,54%"
10,3,"Batch normalization, maximum number of neurons in a layer = 64, dropout p=0.4 after the 1st and 2nd fc layers",AdamW lr = 1e-3 wd= 1e-2,1.3940 / 1.7332,"60,26 % / 53,56 %"
10,3,"Batch normalization, maximum number of neurons in a layer = 64, dropout p=0.4 after the 1st and 2nd fc layers and dropout p=0.2 after each pooling layer",AdamW lr = 1e-3 wd= 1e-2,1.7393 / 1.7714,"51,44 % / 51,67 %"
10,3,"Batch normalization, maximum number of neurons in a layer = 512, slow growth from 16, then subsequent layers ×2, dropout p=0.4 after the 1st and 2nd fc layers and dropout p=0.2 after each pooling layer",AdamW lr = 1e-3 wd= 1e-2,0.6413 / 1.6610,"79,70 % / 60,82 %"
10,3,"Changed the order of pooling compared to the previous model (v10). Now pooling occurs after the 3rd, 6th, and 9th conv layers.",AdamW lr = 1e-3 wd= 1e-2,0.4697 / 1.6095,"85,08% / 63,32 %"
10,3,"Batch normalization, number of neurons increases to 256. Pooling only twice after the 4th and 8th layers. No dropout.",AdamW lr = 1e-3 wd= 1e-2,0.5946 / 2.2578,"81,39 % / 51,53 %"
10,3,"Changed the number of neurons in subsequent layers compared to the penultimate model. Dropout after every pooling layer and after every merged layer. In merged layers, p = 0.5.",AdamW lr = 1e-3 wd= 1e-2,0.5691 / 1.5424,"81,93 % / 62,63 %"
10,3,Increased the maximum number of neurons compared to v13 to 1024,AdamW lr = 1e-3 wd= 1e-2,0.3915 / 1.4825,"87,18 % / 66,30 %"
10,3,Same as best,AdamW lr = 1e-3 wd= 1.5e-2,0.4024 / 1.5607,"87,06 % / 64,16"
10,3,Same as best,AdamW lr=1e-3 wd = 0.01,0.4362 / 1.5251 ,"85,82 % / 64,5 %"
5,3,"Batch normalization, maximum number of neurons = 512, padding=1",default AdamW lr = 1e-3,0.2192 / 2.1221,92.93% / 57.95%
5,3,"Maximum number of neurons = 64, padding=1",default AdamW lr = 1e-3,1.8916 / 2.1671,"48,36% / 43.36%"
5,3,"Batch normalization, number of neurons in convolution = 64, maximum neurons in fc layer = 120",SGD lr = 1e-1,1.4912 / 2.3123,"58,34% / 42,15%"
5,3,"Batch normalization, number of neurons in convolution = 64, maximum neurons in fc layer = 120, dropout 0.4 after fc layers",default AdamW lr = 1e-3,2.2342 / 2.0362,"40,87% / 45,18%"
